Rank 	Key 	Presses
#1 	a A 	3068
#2 		2742
#3 	' " 	2233
#4 	[ { 	1835
#5 	n N 	1637
#6 	i I 	1560
#7 	\ | 	1189
#8 	u U 	1158
#9 	m M 	837
#10 	o O 	623
#11 	j J 	491
#12 	r R 	480
#13 	g G 	459
#14 	x X 	396
#15 	t T 	373
#16 	e E 	346
#17 	l L 	330
#18 	h H 	305
#19 	k K 	301
#20 	b B 	283
#21 	s S 	256
#22 	d D 	222
#23 	, < 	216
#24 	RShift 	192
#25 	. > 	177
#26 	w W 	167
#27 	Enter 	156
#28 	; : 	136
#29 	LShift 	129
#30 	y Y 	126
#31 	` ~ 	64
#32 	p P 	49
#33 	c C 	6
#34 	f F 	5
#35 	1 ! 	2
#36 	= + 	2
#37 	0 ) 	1
#38 	9 ( 	1
#39 	] } 	1
#40 	R-Clk 	0
#41 	Win 	0
#42 	Win 	0
#43 	Alt Gr 	0
#44 	Backspace 	0
#45 	Tab 	0
#46 	Ctrl 	0
#47 	Ctrl 	0
#48 	Alt 	0
#49 	Caps Lock 	0
#50 	- _ 	0
#51 	/ ? 	0
#52 	2 @ 	0
#53 	3 # 	0
#54 	4 $ 	0
#55 	5 % 	0
#56 	6 ^ 	0
#57 	7 & 	0
#58 	8 * 	0
#59 	q Q 	0
#60 	v V 	0
#61 	z Z 	0
